Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Zip Code: 60062,Feb-12,$250K,-1.60%,-30.60%,95,3.30%,-2.10%,131,23.60%,-11.50%,291,0.00%,-20.30%,126,3,7,92.60%,0.10%,-1.00%
Zip Code: 60062,Mar-12,$250K,0.00%,-21.30%,86,-9.50%,-7.50%,200,52.70%,0.00%,312,7.20%,-17.90%,135,9,-13,92.70%,0.10%,-0.80%
Zip Code: 60062,Apr-12,$280K,12.00%,-10.70%,100,16.30%,3.10%,239,19.50%,1.70%,330,5.80%,-17.70%,155,20,-26,93.00%,0.30%,0.60%
Zip Code: 60062,May-12,$320K,14.30%,7.20%,133,33.00%,29.10%,284,18.80%,7.60%,340,3.00%,-17.30%,156,1,-24,93.10%,0.10%,0.40%
Zip Code: 60062,Jun-12,$350K,9.40%,7.70%,161,21.10%,17.50%,265,-6.70%,3.10%,316,-7.10%,-18.80%,106,-50,-26,94.30%,1.30%,1.40%
Zip Code: 60062,Jul-12,$386K,10.40%,7.30%,186,15.50%,24.80%,265,0.00%,18.80%,334,5.70%,-8.50%,92,-14,-15,94.20%,-0.10%,1.10%
Zip Code: 60062,Aug-12,$418K,8.10%,11.20%,204,9.70%,9.70%,220,-17.00%,9.50%,294,-12.00%,-14.00%,92,-1,-17,94.90%,0.70%,2.40%
Zip Code: 60062,Sep-12,$386K,-7.50%,5.80%,215,5.40%,30.30%,192,-12.70%,9.10%,260,-11.60%,-23.30%,101,10,-5,94.30%,-0.60%,2.00%
Zip Code: 60062,Oct-12,$363K,-6.00%,5.20%,216,0.50%,45.90%,161,-16.10%,-6.90%,244,-6.20%,-26.10%,102,1,-26,94.00%,-0.30%,2.00%
Zip Code: 60062,Nov-12,$318K,-12.50%,13.70%,189,-12.50%,92.90%,146,-9.30%,6.60%,215,-11.90%,-29.50%,103,1,-26,93.50%,-0.50%,1.10%
Zip Code: 60062,Dec-12,$321K,1.10%,23.50%,155,-18.00%,52.00%,131,-10.30%,24.80%,193,-10.20%,-31.60%,93,-10,-38,93.30%,-0.30%,1.00%
Zip Code: 60062,Jan-13,$287K,-10.70%,12.90%,140,-9.70%,52.20%,120,-8.40%,13.20%,204,5.70%,-29.90%,95,2,-28,94.80%,1.50%,2.20%
Zip Code: 60062,Feb-13,$319K,11.20%,27.60%,119,-15.00%,25.30%,146,21.70%,11.50%,215,5.40%,-26.10%,92,-3,-34,95.30%,0.60%,2.70%
Zip Code: 60062,Mar-13,$330K,3.40%,32.00%,113,-5.00%,31.40%,192,31.50%,-4.00%,225,4.70%,-27.90%,107,15,-29,95.40%,0.10%,2.70%
Zip Code: 60062,Apr-13,$330K,0.00%,17.90%,113,0.00%,13.00%,243,26.60%,1.70%,256,13.80%,-22.40%,105,-2,-51,94.50%,-0.90%,1.50%
Zip Code: 60062,May-13,$350K,6.10%,9.40%,155,37.20%,16.50%,274,12.80%,-3.50%,271,5.90%,-20.30%,103,-2,-53,94.70%,0.20%,1.60%
Zip Code: 60062,Jun-13,$375K,7.10%,7.10%,176,13.50%,9.30%,282,2.90%,6.40%,268,-1.10%,-15.20%,77,-26,-30,95.80%,1.10%,1.40%
Zip Code: 60062,Jul-13,$390K,4.00%,1.00%,211,19.90%,13.40%,290,2.80%,9.40%,288,7.50%,-13.80%,76,-1,-16,96.80%,1.10%,2.60%
Zip Code: 60062,Aug-13,$400K,2.60%,-4.20%,217,2.80%,6.40%,271,-6.60%,23.20%,273,-5.20%,-7.10%,72,-4,-20,98.00%,1.10%,3.00%
Zip Code: 60062,Sep-13,$423K,5.60%,9.50%,218,0.50%,1.40%,256,-5.50%,33.30%,271,-0.70%,4.20%,75,3,-26,97.40%,-0.50%,3.10%
Zip Code: 60062,Oct-13,$426K,0.80%,17.40%,211,-3.20%,-2.30%,210,-18.00%,30.40%,259,-4.40%,6.10%,73,-3,-30,96.80%,-0.60%,2.80%
Zip Code: 60062,Nov-13,$415K,-2.60%,30.70%,185,-12.30%,-2.10%,173,-17.60%,18.50%,234,-9.70%,8.80%,73,1,-30,96.10%,-0.70%,2.60%
Zip Code: 60062,Dec-13,$401K,-3.40%,24.80%,172,-7.00%,11.00%,135,-22.00%,3.10%,201,-14.10%,4.10%,73,0,-20,96.30%,0.20%,3.10%
Zip Code: 60062,Jan-14,$387K,-3.40%,35.00%,141,-18.00%,0.70%,117,-13.30%,-2.50%,182,-9.50%,-10.80%,77,4,-18,96.60%,0.30%,1.80%
Zip Code: 60062,Feb-14,$375K,-3.10%,17.60%,127,-9.90%,6.70%,143,22.20%,-2.10%,194,6.60%,-9.80%,86,9,-6,96.00%,-0.60%,0.70%
Zip Code: 60062,Mar-14,$359K,-4.30%,8.70%,122,-3.90%,8.00%,198,38.50%,3.10%,226,16.50%,0.40%,91,5,-16,95.70%,-0.30%,0.30%
Zip Code: 60062,Apr-14,$340K,-5.40%,2.90%,134,9.80%,18.60%,263,32.80%,8.20%,281,24.30%,9.80%,95,5,-10,95.10%,-0.60%,0.60%
Zip Code: 60062,May-14,$338K,-0.60%,-3.60%,138,3.00%,-11.00%,324,23.20%,18.20%,315,12.10%,16.20%,88,-8,-15,95.30%,0.20%,0.70%
Zip Code: 60062,Jun-14,$374K,10.80%,-0.30%,168,21.70%,-4.50%,344,6.20%,22.00%,335,6.30%,25.00%,65,-23,-12,96.10%,0.80%,0.40%
Zip Code: 60062,Jul-14,$450K,20.30%,15.40%,171,1.80%,-19.00%,354,2.90%,22.10%,365,9.00%,26.70%,59,-6,-17,96.80%,0.70%,0.00%
Zip Code: 60062,Aug-14,$451K,0.20%,12.70%,224,31.00%,3.20%,311,-12.10%,14.80%,367,0.50%,34.40%,62,3,-11,96.50%,-0.40%,-1.50%
Zip Code: 60062,Sep-14,$450K,-0.20%,6.50%,201,-10.30%,-7.80%,299,-3.90%,16.80%,379,3.30%,39.90%,63,2,-12,95.80%,-0.70%,-1.60%
Zip Code: 60062,Oct-14,$455K,1.10%,6.80%,211,5.00%,0.00%,242,-19.10%,15.20%,349,-7.90%,34.70%,68,5,-5,95.50%,-0.30%,-1.30%
Zip Code: 60062,Nov-14,$460K,1.10%,10.80%,171,-19.00%,-7.60%,187,-22.70%,8.10%,294,-15.80%,25.60%,67,-1,-6,96.10%,0.60%,-0.10%
Zip Code: 60062,Dec-14,$454K,-1.30%,13.30%,198,15.80%,15.10%,120,-35.80%,-11.10%,245,-16.70%,21.90%,77,10,4,96.60%,0.50%,0.20%
Zip Code: 60062,Jan-15,$455K,0.20%,17.60%,173,-12.60%,22.70%,104,-13.30%,-11.10%,242,-1.20%,33.00%,79,2,2,96.70%,0.10%,0.10%
Zip Code: 60062,Feb-15,$510K,12.10%,36.00%,161,-6.90%,26.80%,146,40.40%,2.10%,250,3.30%,28.90%,94,15,8,96.20%,-0.40%,0.20%
Zip Code: 60062,Mar-15,$480K,-5.90%,33.80%,146,-9.30%,19.70%,223,52.70%,12.60%,281,12.40%,24.30%,105,11,14,95.20%,-1.00%,-0.50%
Zip Code: 60062,Apr-15,$457K,-4.90%,34.50%,146,0.00%,9.00%,293,31.40%,11.40%,318,13.20%,13.20%,120,16,25,95.90%,0.70%,0.80%
Zip Code: 60062,May-15,$450K,-1.40%,33.30%,173,18.50%,25.40%,344,17.40%,6.20%,356,11.90%,13.00%,100,-20,13,96.50%,0.50%,1.10%
Zip Code: 60062,Jun-15,$450K,0.00%,20.30%,206,19.10%,22.60%,377,9.60%,9.60%,382,7.30%,14.00%,72,-29,7,97.30%,0.80%,1.10%
Zip Code: 60062,Jul-15,$443K,-1.70%,-1.70%,242,17.50%,41.50%,358,-5.00%,1.10%,371,-2.90%,1.60%,74,2,15,96.70%,-0.50%,-0.10%
Zip Code: 60062,Aug-15,$445K,0.60%,-1.30%,264,9.10%,17.90%,314,-12.30%,1.00%,357,-3.80%,-2.70%,73,-1,12,96.60%,-0.20%,0.10%
Zip Code: 60062,Sep-15,$430K,-3.40%,-4.40%,207,-21.60%,3.00%,245,-22.00%,-18.10%,334,-6.40%,-11.90%,78,5,15,96.50%,-0.10%,0.60%
Zip Code: 60062,Oct-15,$440K,2.20%,-3.40%,194,-6.30%,-8.10%,228,-6.90%,-5.80%,340,1.80%,-2.60%,77,-1,9,96.90%,0.50%,1.40%
Zip Code: 60062,Nov-15,$430K,-2.20%,-6.50%,166,-14.40%,-2.90%,201,-11.80%,7.50%,296,-12.90%,0.70%,79,2,12,96.40%,-0.50%,0.40%
Zip Code: 60062,Dec-15,$458K,6.50%,0.90%,175,5.40%,-11.60%,156,-22.40%,30.00%,256,-13.50%,4.50%,82,3,5,96.20%,-0.30%,-0.40%
Zip Code: 60062,Jan-16,$426K,-7.00%,-6.40%,155,-11.40%,-10.40%,144,-7.70%,38.50%,266,3.90%,9.90%,78,-4,-1,95.30%,-0.90%,-1.40%
Zip Code: 60062,Feb-16,$426K,0.00%,-16.50%,119,-23.20%,-26.10%,178,23.60%,21.90%,297,11.70%,18.80%,105,27,11,95.20%,0.00%,-1.00%
Zip Code: 60062,Mar-16,$388K,-8.90%,-19.20%,115,-3.40%,-21.20%,280,57.30%,25.60%,349,17.50%,24.20%,93,-12,-12,95.30%,0.00%,0.00%
Zip Code: 60062,Apr-16,$425K,9.50%,-6.90%,123,7.00%,-15.80%,332,18.60%,13.30%,380,8.90%,19.50%,98,5,-22,95.90%,0.60%,-0.10%
Zip Code: 60062,May-16,$415K,-2.40%,-7.80%,177,43.90%,2.30%,386,16.30%,12.20%,403,6.10%,13.20%,84,-14,-16,96.00%,0.10%,-0.50%
Zip Code: 60062,Jun-16,$429K,3.40%,-4.70%,221,24.90%,7.30%,363,-6.00%,-3.70%,395,-2.00%,3.40%,82,-3,10,96.40%,0.40%,-0.90%
Zip Code: 60062,Jul-16,$440K,2.60%,-0.60%,250,13.10%,3.30%,349,-3.90%,-2.50%,391,-1.00%,5.40%,70,-12,-4,96.40%,0.00%,-0.30%
Zip Code: 60062,Aug-16,$440K,0.00%,-1.10%,273,9.20%,3.40%,285,-18.30%,-9.20%,357,-8.70%,0.00%,72,2,-2,96.40%,0.00%,-0.10%
Zip Code: 60062,Sep-16,$440K,0.00%,2.30%,242,-11.40%,16.90%,265,-7.00%,8.20%,374,4.80%,12.00%,76,5,-2,96.20%,-0.20%,-0.20%
Zip Code: 60062,Oct-16,$445K,1.10%,1.30%,207,-14.50%,6.70%,226,-14.70%,-0.90%,368,-1.60%,8.20%,83,7,6,95.80%,-0.40%,-1.10%
Zip Code: 60062,Nov-16,$442K,-0.70%,2.80%,163,-21.30%,-1.80%,196,-13.30%,-2.50%,318,-13.60%,7.40%,91,8,12,95.40%,-0.40%,-1.00%
Zip Code: 60062,Dec-16,$425K,-3.80%,-7.20%,155,-4.90%,-11.40%,139,-29.10%,-10.90%,260,-18.20%,1.60%,97,6,16,94.70%,-0.80%,-1.50%
Zip Code: 60062,Jan-17,$402K,-5.40%,-5.60%,153,-1.30%,-1.30%,141,1.40%,-2.10%,273,5.00%,2.60%,101,4,23,94.80%,0.10%,-0.50%
Zip Code: 60062,Feb-17,$407K,1.20%,-4.50%,133,-13.10%,11.80%,212,50.40%,19.10%,344,26.00%,15.80%,106,5,1,94.70%,-0.10%,-0.60%
Zip Code: 60062,Mar-17,$448K,10.00%,15.30%,143,7.50%,24.30%,331,56.10%,18.20%,405,17.70%,16.00%,119,13,26,95.70%,1.00%,0.40%
Zip Code: 60062,Apr-17,$449K,0.20%,5.50%,154,7.70%,25.20%,387,16.90%,16.60%,440,8.60%,15.80%,121,2,23,96.10%,0.40%,0.20%
Zip Code: 60062,May-17,$452K,0.80%,8.90%,203,31.80%,14.70%,394,1.80%,2.10%,447,1.60%,10.90%,92,-29,8,96.90%,0.80%,0.90%
Zip Code: 60062,Jun-17,$450K,-0.40%,4.90%,244,20.20%,10.40%,366,-7.10%,0.80%,453,1.30%,14.70%,76,-16,-6,96.80%,-0.10%,0.40%
Zip Code: 60062,Jul-17,$468K,3.90%,6.30%,272,11.50%,8.80%,320,-12.60%,-8.30%,425,-6.20%,8.70%,76,0,6,96.90%,0.10%,0.50%
Zip Code: 60062,Aug-17,$470K,0.50%,6.80%,276,1.50%,1.10%,281,-12.20%,-1.40%,400,-5.90%,12.00%,76,0,5,96.70%,-0.10%,0.30%
Zip Code: 60062,Sep-17,$465K,-1.10%,5.70%,237,-14.10%,-2.10%,248,-11.70%,-6.40%,391,-2.30%,4.50%,76,0,0,96.80%,0.10%,0.60%
Zip Code: 60062,Oct-17,$460K,-1.10%,3.40%,231,-2.50%,11.60%,208,-16.10%,-8.00%,336,-14.10%,-8.70%,84,8,1,96.40%,-0.40%,0.60%
Zip Code: 60062,Nov-17,$415K,-9.80%,-6.10%,195,-15.60%,19.60%,162,-22.10%,-17.30%,277,-17.60%,-12.90%,98,15,7,95.50%,-0.90%,0.10%
Zip Code: 60062,Dec-17,$410K,-1.20%,-3.50%,192,-1.50%,23.90%,103,-36.40%,-25.90%,215,-22.40%,-17.30%,113,15,16,95.20%,-0.30%,0.50%
Zip Code: 60062,Jan-18,$400K,-2.40%,-0.50%,152,-20.80%,-0.70%,140,35.90%,-0.70%,250,16.30%,-8.40%,126,13,25,95.00%,-0.20%,0.20%
Zip Code: 60062,Feb-18,$395K,-1.30%,-2.90%,125,-17.80%,-6.00%,219,56.40%,3.30%,305,22.00%,-11.30%,122,-4,16,95.80%,0.80%,1.10%
Zip Code: 60062,Mar-18,$403K,1.90%,-10.10%,126,0.80%,-11.90%,312,42.50%,-5.70%,355,16.40%,-12.30%,110,-12,-9,95.80%,0.00%,0.20%
Zip Code: 60062,Apr-18,$405K,0.60%,-9.70%,146,15.90%,-5.20%,347,11.20%,-10.30%,379,6.80%,-13.90%,78,-33,-44,96.20%,0.40%,0.20%
Zip Code: 60062,May-18,$433K,6.80%,-4.30%,194,32.90%,-4.40%,360,3.70%,-8.60%,397,4.70%,-11.20%,76,-2,-17,96.10%,-0.20%,-0.80%
Zip Code: 60062,Jun-18,$443K,2.30%,-1.70%,212,9.30%,-13.10%,371,3.10%,1.40%,426,7.30%,-6.00%,70,-6,-6,96.30%,0.30%,-0.40%
Zip Code: 60062,Jul-18,$467K,5.40%,-0.20%,247,16.50%,-9.20%,352,-5.10%,10.00%,419,-1.60%,-1.40%,71,1,-5,96.00%,-0.40%,-0.90%
Zip Code: 60062,Aug-18,$515K,10.40%,9.60%,243,-1.60%,-12.00%,312,-11.40%,11.00%,416,-0.70%,4.00%,70,-1,-6,96.00%,0.00%,-0.80%
Zip Code: 60062,Sep-18,$495K,-3.90%,6.50%,252,3.70%,6.30%,254,-18.60%,2.40%,391,-6.00%,0.00%,76,6,0,95.80%,-0.20%,-1.00%
Zip Code: 60062,Oct-18,$463K,-6.50%,0.70%,213,-15.50%,-7.80%,222,-12.60%,6.70%,369,-5.60%,9.80%,84,8,1,95.40%,-0.40%,-1.10%
Zip Code: 60062,Nov-18,$456K,-1.50%,9.90%,194,-8.90%,-0.50%,182,-18.00%,12.30%,333,-9.80%,20.20%,92,8,-6,94.90%,-0.50%,-0.60%
Zip Code: 60062,Dec-18,$450K,-1.30%,9.80%,155,-20.10%,-19.30%,140,-23.10%,35.90%,263,-21.00%,22.30%,102,10,-11,94.30%,-0.60%,-0.90%
Zip Code: 60062,Jan-19,$468K,3.90%,16.90%,122,-21.30%,-19.70%,148,5.70%,5.70%,275,4.60%,10.00%,109,7,-17,94.30%,0.10%,-0.60%
Zip Code: 60062,Feb-19,$425K,-9.10%,7.60%,105,-13.90%,-16.00%,194,31.10%,-11.40%,312,13.50%,2.30%,125,16,3,93.60%,-0.70%,-2.20%
Zip Code: 60118,Feb-12,$151K,-3.00%,-15.90%,31,40.90%,-13.90%,50,42.90%,8.70%,113,-2.60%,-2.60%,181,43,23,90.80%,-4.80%,-3.50%
Zip Code: 60118,Mar-12,$162K,7.00%,-7.70%,42,35.50%,20.00%,72,44.00%,22.00%,124,9.70%,4.20%,188,7,40,91.10%,0.20%,-3.90%
Zip Code: 60118,Apr-12,$161K,-0.20%,-6.10%,38,-9.50%,46.20%,78,8.30%,14.70%,120,-3.20%,-9.10%,188,-1,34,91.60%,0.50%,-4.60%
Zip Code: 60118,May-12,$188K,16.30%,0.50%,42,10.50%,16.70%,85,9.00%,4.90%,120,0.00%,-15.50%,170,-18,9,92.70%,1.10%,-3.00%
Zip Code: 60118,Jun-12,$188K,0.00%,7.10%,46,9.50%,12.20%,81,-4.70%,14.10%,129,7.50%,-2.30%,168,-3,-8,94.10%,1.40%,0.60%
Zip Code: 60118,Jul-12,$180K,-4.00%,2.90%,56,21.70%,30.20%,81,0.00%,15.70%,133,3.10%,-8.90%,94,-74,-115,93.80%,-0.20%,1.10%
Zip Code: 60118,Aug-12,$178K,-1.40%,-1.90%,54,-3.60%,38.50%,80,-1.20%,25.00%,140,5.30%,1.40%,95,1,-60,95.60%,1.80%,3.10%
Zip Code: 60118,Sep-12,$169K,-4.80%,-25.60%,48,-11.10%,33.30%,76,-5.00%,15.20%,139,-0.70%,-6.70%,92,-3,-63,95.90%,0.30%,1.80%
Zip Code: 60118,Oct-12,$192K,13.60%,-13.50%,51,6.30%,34.20%,72,-5.30%,28.60%,132,-5.00%,-8.30%,105,13,-55,96.70%,0.80%,0.60%
Zip Code: 60118,Nov-12,$175K,-8.90%,-5.40%,53,3.90%,71.00%,58,-19.40%,41.50%,114,-13.60%,-9.50%,122,17,-42,95.70%,-1.00%,-1.90%
Zip Code: 60118,Dec-12,$175K,0.00%,4.20%,55,3.80%,120.00%,45,-22.40%,36.40%,104,-8.80%,-13.30%,131,9,-19,95.50%,-0.10%,-3.10%
Zip Code: 60118,Jan-13,$180K,2.70%,15.40%,52,-5.50%,136.40%,35,-22.20%,0.00%,92,-11.50%,-20.70%,141,11,3,96.20%,0.70%,0.60%
Zip Code: 60118,Feb-13,$204K,13.20%,34.80%,49,-5.80%,58.10%,49,40.00%,-2.00%,98,6.50%,-13.30%,177,36,-4,95.90%,-0.30%,5.00%
Zip Code: 60118,Mar-13,$203K,-0.50%,25.40%,41,-16.30%,-2.40%,72,46.90%,0.00%,114,16.30%,-8.10%,185,8,-3,96.50%,0.60%,5.40%
Zip Code: 60118,Apr-13,$174K,-14.20%,7.80%,48,17.10%,26.30%,91,26.40%,16.70%,118,3.50%,-1.70%,181,-4,-7,94.90%,-1.60%,3.30%
Zip Code: 60118,May-13,$174K,0.00%,-7.30%,52,8.30%,23.80%,93,2.20%,9.40%,120,1.70%,0.00%,113,-68,-57,96.80%,1.90%,4.10%
Zip Code: 60118,Jun-13,$183K,5.00%,-2.70%,66,26.90%,43.50%,94,1.10%,16.00%,130,8.30%,0.80%,98,-16,-70,97.00%,0.20%,2.90%
Zip Code: 60118,Jul-13,$215K,17.80%,19.40%,64,-3.00%,14.30%,96,2.10%,18.50%,130,0.00%,-2.30%,89,-9,-5,98.30%,1.30%,4.50%
Zip Code: 60118,Aug-13,$217K,0.90%,22.30%,59,-7.80%,9.30%,85,-11.50%,6.30%,128,-1.50%,-8.60%,91,3,-4,97.80%,-0.50%,2.20%
Zip Code: 60118,Sep-13,$217K,0.00%,28.40%,63,6.80%,31.30%,67,-21.20%,-11.80%,106,-17.20%,-23.70%,93,2,1,96.00%,-1.80%,0.10%
Zip Code: 60118,Oct-13,$202K,-7.10%,4.90%,66,4.80%,29.40%,57,-14.90%,-20.80%,102,-3.80%,-22.70%,93,1,-12,94.60%,-1.50%,-2.20%
Zip Code: 60118,Nov-13,$230K,14.10%,31.40%,67,1.50%,26.40%,51,-10.50%,-12.10%,88,-13.70%,-22.80%,97,4,-25,94.60%,0.00%,-1.10%
Zip Code: 60118,Dec-13,$210K,-8.70%,20.00%,55,-17.90%,0.00%,45,-11.80%,0.00%,76,-13.60%,-26.90%,102,5,-29,95.50%,0.90%,-0.10%
Zip Code: 60118,Jan-14,$210K,-0.20%,16.60%,46,-16.40%,-11.50%,41,-8.90%,17.10%,80,5.30%,-13.00%,114,12,-27,97.10%,1.60%,0.90%
Zip Code: 60118,Feb-14,$185K,-11.70%,-9.10%,39,-15.20%,-20.40%,49,19.50%,0.00%,89,11.30%,-9.20%,134,20,-43,97.40%,0.40%,1.60%
Zip Code: 60118,Mar-14,$231K,24.90%,14.10%,33,-15.40%,-19.50%,63,28.60%,-12.50%,94,5.60%,-17.50%,158,24,-27,98.20%,0.70%,1.70%
